st,type 
any guys wanna pm a girl like me,ynQuestion
sounds good 11-08-40sUser48,Other
lol 11-08-40sUser61,Other
this morning when i was going to work i heard that my boss died so went in to work and told my coworkers that he died in a car wrek and nobody belive me ,Statement
-s,Other
1cos age loc?,whQuestion
ooeer is sum1 gonna ghet fuked up? :),ynQuestion
JOIN,Other
11-06-adultsUser107!!!!,Statement
How did you know it was a good idea?,whQuestion
lmaooo 11-08-20sUser69!!!!!!!!!!!!!,Other
JOIN,Other
wb 11-08-40sUser2's,Other
11-09-adultsUser54 got the only tickets,Statement
Biiiiiitch,Statement
dont fck with the bible 11-08-adultsUser95,Other
hahaha,Other
!deop,Other
dear lord my son is almost 19 and having hissy fits over xbox live ,Statement
whooo hooo,Other
pm me for my phone number.,Statement
10-19-30sUser25 bye,Other
hiya 10-24-40sUser56,Other
i appologise,Statement
hi 10-24-40sUser10,Other
damn...,Other
JOIN,Other
hi 11-08-40sUser30,Other
"10-24-40sUser24, 10-24-40sUser41 don't like to be romantic because the other day was romantic and at the end he knew was romantic with a man",Statement
had to call national guard in,Statement
im out in cal now 10-19-40sUser3 looking at some new bulls to by,Statement
it's nice....soft ,Statement
I give it to you good.,Statement
PART,Other
hi 11-08-40sUser53,Other
"OK.. thanks, Everyone.. carry on... sorry for the interruption.;)",Statement
10-19-20sUser109s in my pm too 10-19-20sUser6,Statement
JOIN,Other
whhhooooo ridem 11-08-40sUser48 !!!,Other
 .Sunrise21 AM PDT .Set20 PM PDT .Length. 2m 26s shorter,Other
PART,Other
"11-08-adultsUser66......if i felt a rock hard cock in my mouth, i owuldnt be in here",Statement
PART,Other
yes!!!,Other
 hehe,Other
That's what Daniel's gonna be too.,Statement
JOIN,Other
JOIN,Other
byeeeeeeee bye,Other
JOIN,Other
free for 10-19-20sUser68,Statement
naw,Other
it makes a great lube,Statement
yoko did,Statement
.ACTION shrugs.,Other
your poor wall,Statement
ahhahahaha!!!!,Other
11-09-adultsUser73: How much do you think  it is?   I'll come back to that later.,whQuestion
PART,Other
any girl wanna chat?,ynQuestion
ny fit ladz 16-20 frm uk pm me pic on pro,Statement
"Lol, I do indeed. I'm leaving at 7:45..so in like 45 minutes.",Statement
can't keep up to perv,Statement
JOIN,Other
piff so,Statement
JOIN,Other
When will the meeting start?,whQuestion
pokes 10-19-adultsUser1 didn't want to b left out,Statement
 :tongue: ,Other
hahaha 11-09-40sUser4,Other
me too...always seem to pick the right stocks for everyone else but me....lol,Statement
bye 10-19-20sUser20,Other
hey 10-19-30sUser31... welcome,Other
JOIN,Other
.ACTION just wansta get drunkat the receprion!!!.,Other
LOL,Other
Is gold mined in Canada?,ynQuestion
PART,Other
I'm physically impaired,Statement
.ACTION is contemplating a nap.,Other
"my tummy is a bit upset, but nothing serious.. I can still eat.",Statement
oh man its chilly today...,Statement
PART,Other
always 11-08-adultsUser56,Other
OK im really fuckin confused!!,Other
.ACTION passes a drink to all in the room and a margarita for 10-19-30sUser11 .,Other
haha 11-09-40sUser7,Other
PART,Other
hi 11-09-40sUser7,Other
11-06-adultsUser105,Statement
well thank you lol,Statement
i tried to refrain,Statement
yah it will take a few weeks for it to kick in,Other
and on another note: PERVS QUIT PMING ME!,Other
and he bites 10-19-20sUser115,Statement
thanks 11-09-40sUser8 ,Statement
"because we've been sitting on our asses, so of course they feel lame.. and a bit numb",Statement
i didnt come up with any more of a plan,Statement
PART,Other
What caused it to happen?,whQuestion
aww 10-19-20sUser6 have fun,Statement
hi 10-24-40sUser44,Other
I've never had an xbox lol,Statement
JOIN,Other
Yeah 11-09-20sUser34 haha its proper,Other
"What was the problem, and what did you do about it?",whQuestion
i can tell by the moaning ,Statement
Was his house on an island?,ynQuestion
.ACTION inhales deeply.,Other
lol,Other
.wz 29803,Other
PART,Other
grassyass garciae,Statement
oh is that how you caught it,ynQuestion
yea i stopped taking paxil a week ago,Statement
hi 10-24-40sUser28,Other
PART,Other
i got fired from dunkin donuts,Statement
i was wondering that's all,Statement
hi room,Other
"Heyyy ((((((( 10-24-40sUser33 )))))))) ty ty and hugs ,,",Statement
the information superhiway was all jammed up,Statement
hi 11-09-40sUser21,Other
hi 11-09-40sUser41,Other
JOIN,Other
i am  so bored  out  of  my mind i am  ,Statement
where in il,whQuestion
now on the other hand if i made 27 per ....that would change my outlook alittle,Statement
im just glad mothers day is over with today,Statement
I'm flattered really!,Other
.ACTION finished his orange juice.,Other
PART,Other
Give me an example of a time when you used your fact-finding skills to gain information needed to solve a problem,whQuestion
Im talkin about all yer typin. .,Statement
good u 11-08-40sUser47,whQuestion
PART,Other
10-19-40sUser9,Other
JOIN,Other
harvest good this year,Statement
hey 10-19-40sUser23,Other
good,Statement
lol pay,Other
sucks but ill get through it,Statement
lol.......why are you getting xcitable?,whQuestion
hows u 10-19-adultsUser36 ???,whQuestion
PART,Other
NICK :11-09-adultsUser0,Other
free your mind,Statement
almost 11-09-40sUser39.. u there?,ynQuestion
cuteness back,Statement
Whom do we have to contact?,whQuestion
I am sure someone is from CT,Statement
hi,Other
Hi 10-19-40sUser30,Other
"why did you feel bad, 11-09-adultsUser44?",whQuestion
lol,Other
we were just talking about jesus trials throught the desert and the temptations that pursued him,Statement
hi 11-09-40sUser46,Other
JOIN,Other
hi 10-24-40sUser43,Other
hehehe,Other
florida,Statement
thx 11-09-40sUser15,Statement
la la la hey jude,Statement
11-09-40sUser18......have you had pumpkin ice cream?,ynQuestion
"I'm out now, got costumes to shop for!",Other
lmao he told you not to call me yesterday,Statement
hi 10-19-40sUser45 ,Other
"i know 10-19-40sUser11, bet you're thinking how did i ever come up with 10-19-40sUser30",Statement
JOIN,Other
or huge and catastrophic,Statement
someone rub em and make the blood flow.. haha,Statement
PART,Other
hands 11-08-40sUser25 back the pillow,Statement
"Yes, there is.",Other
is the hearthechatters still up?,ynQuestion
"oh, sorry",Statement
music's good. dancing's even better,Statement
hiYas 10-19-adultsUser59,Other
Ask before you PM anyone.,Statement
"but sports..now that's where i get the label ""hater""...hmph!!",Statement
hey 10-19-40sUser49,Other
JOIN,Other
".ACTION sorry your hungry, i just ate a tv dinner mmmmm.. .",Other
i don't,Statement
hi 11-08-40sUser7,Other
haha,Other
anyone want to chat with me,ynQuestion
what did I miss in the 2.3 seconds I was out?,whQuestion
the 10-19-30sUser34 of Steel,Statement
lol 10-19-40sUser3,Other
ah ok.. my dad lives in clay wv,Statement
.ACTION pimp slaps 10-26-teensUser108.,Other
in 1996? hmmm dont know,Statement
how are you ppl?,whQuestion
you know you're a redneck when....,Statement
hello from illinois,Other
"10-24-40sUser16, who you sheesin?",whQuestion
put the dildo down 10-19-adultsUser23 & stop pokin ppl with it,Statement
hi all,Other
kent is like 20 mins from me,Statement
",,,,,,, babblein nonsense i think",Statement
:) 10-24-40sUser19,Other
hi 10-19-40sUser30  ,Other
Did you know the answer?,ynQuestion
humm,Statement
minus the gray?,ynQuestion
wb 10-19-40sUser24,Other
welcome 10-19-30sUser21,Other
hi all ,Other
What procedures did you use to deal with it?,whQuestion
ewww @ my pm..,Statement
hi 10-19-40sUser43 ,Other
PART,Other
lol i cant trust you  yet   i dunno you ,Statement
<empty>,Other
.ACTION comes back from the ally with 1/2 drunk bottle of cheep wine.,Other
lol,Other
You trying to get me stalked!,Other
thought*,Other
well i am going talk later,Statement
"Define ""Good and fun""",Statement
PART,Other
aloha,Other
PART,Other
then buy one,Statement
Hi 11-09-40sUser34,Other
Ooo promise 11-06-adultsUser42?!?!,ynQuestion
"8,6 girls",Other
PART,Other
18 /m/pa here,Statement
Something is making a strange noise.,Statement
hello,Other
That happens alot,Other
PART,Other
Hi 11-09-teensUser156.,Other
oh im jus curious is all,Statement
Hi  10-19-40sUser33   welcome  to room as u  go  shoppin at k-mart  for  new pants,Other
permanent,Statement
are u a guy?,ynQuestion
any girls wanna chat with 24/m,ynQuestion
tc 10-24-40sUser21,Other
PART,Other
"what am i up to.. about 5'5""",Statement
PART,Other
Describe a situation when you had to manage multiple priorities with limited time.,whQuestion
Please give me an example.,whQuestion
lol 10-24-40sUser13,Other
told me i couldnt call you,Statement
PART,Other
ahhh ok,Statement
well..........i like it lmao,Statement
h,Other
thanks 11-06-adultsUser53;-),Statement
10-19-30sUser25,Other
11-09-40sUser42,Statement
thanks goodness,Statement
ty.....clicked the  wrong button.....,Statement
???,whQuestion
JOIN,Other
hi,Other
ty ty :),Statement
PART,Other
is a christian but is aggravated at denomination churches,Statement
hey wanna chat im me @ 11-09-teensUser144@aim.com,Other
JOIN,Other
dont suppose anyone here delivers?,ynQuestion
ty 10-19-20sUser6,Statement
i here watchin ghost hunters lol ,Statement
alohas,Other
hi 10-24-40sUser37,Other
lol,Other
Anyone from Tennessee in here?,ynQuestion
JOIN,Other
you're fucking hot.,Statement
19 m canada ladies pm if interested...,Statement
what does the blind deaf retarded kid get for xmas?,whQuestion
PART,Other
"are you kiddin me, if had a pair of my own, like anyone here would even know me",Statement
PART,Other
where did everyone gooo?,whQuestion
i know his whole schedule,Statement
thank you 10-19-30sUser9,Statement
:10-26-teensUser122!10-26-teensUser122@10-26-teensUser122 MODE #14-19teens -o 10-26-teensUser72,Other
its not Rick James anymore,Statement
puff puff here you go someone take it toke,Statement
What do you think the problem was?,whQuestion
gags even,Statement
teehee,Statement
promise?,ynQuestion
"West Little Rock, Arkansas here",Other
"LoL 10-19-adultsUser15. .Yeah, that too.",Other
hi 10-19-40sUser53,Other
PART,Other
.ACTION whispers: what the hell for?.,Other
It is in my world,Statement
22 ,Statement
I wanna know too 11-09-teensUser150 but its the eroticaust and thats why so many have it.,Statement
What did you have to learn to be effective in your previous job?,whQuestion
wb 11-09-adultsUser63,Other
oops,Statement
JOIN,Other
i got my nails done today...sooo pretty,Statement
".ACTION starting a chant:  o/~ Hail to the victors valiant, hail to the concrete heroes .. hail .. hail .. to Michigan the leaders and best! o/~.",Other
hey 10-24-40sUser27,Other
.ACTION smacks 10-19-adultsUser28 back online in msn.,Other
JOIN,Other
11-08-teensUser139...shush...,Statement
ahem .. 11-09-40sUser34?,ynQuestion
11-06-adultsUser105,Statement
"holycow .... nice place to be from, 11-09-40sUser47 :O",Statement
yeah,Other
Hi 11-09-40sUser51  ,Other
oh ya,Other
get ME SOME !!!!!,Other
i have 2,Statement
.ACTION hands 10-19-30sUser17 her bio.,Other
see ya 11-09-40sUser8,Other
any guys want to chat,ynQuestion
he may like that too much,Statement
j/p,Statement
lmao 10-19-30sUser25,Other
.ACTION saunders back in.,Other
PART,Other
18/m pm if u try to chat,Statement
honey.. cmon,Statement
"what she doesn't know about, can't hurt her.",Statement
PART,Other
PART,Other
11-08-adultsUser1,Statement
.ACTION dances like a fuckin fool.,Other
Break it up in sentences (single posts) instead of typin a paragraph =),Statement
PART,Other
the idiots are always on top because their insanity seems to be mostly wide spread,Statement
NICK :10-19-30sUser10,Other
Because it's not the same..and I like Rutger.,Statement
I see new updated pics from 10-19-40sUser11 and 10-19-40sUser52,Statement
wut??,whQuestion
Yes he is,Other
hello teens i'm 26 years old,Other
yw,Statement
PART,Other
18/m pm me if u tryin to chat,Statement
hi 10-24-40sUser16,Other
I have the only 10' long moped in town,Statement
rocks,Statement
JOIN,Other
im new here i wanted to see if it worked,Statement
<not sexy but can I stay?,ynQuestion
PART,Other
cya later guys,Other
"lol, 10-24-40sUser50",Other
10-19-40sUser26,Statement
 the dreaded missing sock basket,Statement
KoOL,Statement
.12(((((..4 11-08-adultsUser95 ..12))))),Other
shane told me not too..so i didnt,Statement
bright blessings all,Other
see ya'll when the weekend is over,Other
Maidstone! You dont happen to have family in Catterick do you?,ynQuestion
JOIN,Other
:11-09-teensUser34!11-09-teensUser34@11-09-teensUser34 MODE #14-19teens +o 11-09-teensUser34,Other
you too 11-09-40sUser34  :-),Statement
(((10-24-40sUser11))),Other
Anyone wanna Cyber,ynQuestion
.ACTION waves to 11-06-adultsUser105.,Other
wb 11-09-40sUser7,Other
brb,Other
scar face,Statement
Hey 11-08-40sUser33,Other
lmaoo 10-19-20sUser121,Other
hey 11-09-40sUser47,Other
i would dump you in cookies and cream,Statement
11-08-adultsUser12 i  want your bot lol,Statement
lol,Other
JOIN,Other
howdy 10-24-40sUser31,Other
.ACTION curls up in my blankie.,Other
Describe a situation in which you found you had a serious problem.,whQuestion
bi or lez gurls pm me plz,Statement
hi 11-08-40sUser64,Other
ello,Other
JOIN,Other
:10-26-teensUser54!10-26-teensUser54@10-26-teensUser54 MODE #14-19teens +o 10-26-teensUser54,Other
PART,Other
i think he was joking,Statement
home of the sooners,Statement
Do u hate me now,ynQuestion
lol 10-19-adultsUser47,Other
10-19-20sUser115 hes taken alright,Other
times up...febe dobson,Statement
suffers from hazy shades of winter,Statement
I,Statement
lol,Other
bumper to bumber down there 11-09-40sUser35,ynQuestion
hi everyone,Other
Describe a situation in which you felt it necessary to be very attentive and vigilant to your environment.,whQuestion
anything else 11-08-20sUser133,ynQuestion
10-19-adultsUser520...good ole 10-19-adultsUser520..lol,Statement
JOIN,Other
PART,Other
damn puter,Statement
really??,ynQuestion
Hi 10-24-40sUser45,Other
well then get Tina in here 10-19-adultsUser23,Statement
JOIN,Other
hii 10-24-40sUser51,Other
PART,Other
nope 11-06-adultsUser88,Other
.ACTION smirkz and hits 10-19-adultsUser35 up in her pm .,Other
What is it?,whQuestion
(((((((((((((((hey yall))))))))))))),Other
JOIN,Other
11-09-20sUser101  like what,whQuestion
 i no so have i my keys r sticking lol,Statement
wb 11-08-40sUser45,Other
PART,Other
HEY 11-09-teensUser33 do u hav a big booty lol,ynQuestion
sure do...lol,Other
Hmm,Statement
10-19-40sUser34 has an awesome pick!,Other
yeah right,Other
JOIN,Other
.9Lime Player 12%.)(.Song 280 of 423.).,Other
sorry?  what was that about fat asses...,whQuestion
JOIN,Other
JOIN,Other
PART,Other
had a girlfriend with hair like you 10-19-30sUser9,Statement
18/m pm me if u tryin to chat,Statement
PART,Other
Remember the LAst time you did that,ynQuestion
11-08-20sUser21 i want a nick name too,Statement
PART,Other
11-08-40sUser32 !!,Other
is this moving too fast for ya?,ynQuestion
:),Other
Stick em if you got em!!!!!,Other
:),Other
whos kennedy??!!,whQuestion
LOL,Other
u evil  twin  left  10-19-40sUser27 ,Statement
sell  your   soul,Statement
giggling,Other
Or confessed to it I should say,Other
PART,Other
good night all,Other
heheh,Other
oh joy,Other
"no,, i was errrrr askin",Other
"Hi, 10-19-30sUser44",Other
10-19-40sUser48,Other
JOIN,Other
PART,Other
buh bye,Other
!seen 11-09-teensUser819,Other
heeee,Statement
no,Other
PART,Other
"better than ""slap that""",Statement
hmm...seth? lol,Statement
sorry i got distracted,Statement
is there any girl who can just talk to me (17/F)? PM me please. thanks,ynQuestion
JOIN,Other
nice pick up 11-09-20sUser156 i've been wondering that when he/she first came in,Statement
NICK :10-19-adultsUser32,Other
your face is goofy,Statement
i wouldnt trust you behind the wheel of a peddle car,Statement
thanks 11-09-40sUser18 ... hi 11-09-40sUser45,Statement
"uh, yeah...",Other
"it's like foreplay, making a girl watch you own in a video game.",Statement
PART,Other
PART,Other
lol i thought you were good 11-08-40sUser18,Statement
wb 11-08-40sUser47,Other
"takes note, 10-19-adultsUser35",Statement
alotta ppl are 11-06-adultsUser53 :P,Statement
any guys wanna have a fun chat  pm me now,Statement
what was his nicname 11-08-40sUser34?,whQuestion
11-06-adultsUser29!!! :-@ ,Other
PART,Other
Cool 11-09-20sUser34,Statement
if any guys thats only 18 or older im,Statement
PART,Other
Then what do you like 10-26-teensUser86?,whQuestion
11-08-adultsUser30 shut up about it,Other
el rey,Statement
"its always.....""ewwwww""",Statement
What do you think about the movie?,whQuestion
PART,Other
any guy wanna chat with me,ynQuestion
hi 10-19-40sUser26  ,Other
JOIN,Other
11-08-40sUser2's 11-08-40sUser24,Statement
naked? who is naked? where?,whQuestion
aloha to all!,Other
.ACTION pukes all over the place....,Other
i'm in my jammies,Statement
"I didnt say in my profile to leave me alone. I said not to PM me. You can talk to me out here, 10-19-adultsUser45",Other
JOIN,Other
i'm sure there is a troll out there for you 11-08-20sUser21,Statement
PART,Other
 ((((((((((((((((((((((((11-08-40sUser20))))))))))))))))) I think you must have a bed roll in da corner?,ynQuestion
JOIN,Other
"18,   16",Other
PART,Other
ohhh ok oops 11-08-40sUser48........just got here..I need a minute lol,Statement
why?,whQuestion
I thought all those k's would result in a ###,Statement
not any more 10-19-20sUser115,Other
10-19-20sUser23 kina give it away,Statement
hi 11-08-40sUser23,Other
PART,Other
Hi 11-09-40sUser33,Other
hiya 10-19-adultsUser51 ,Other
me prolly 10-24-40sUser13.....dont git in much trouble that way lol,Statement
PART,Other
PART,Other
PART,Other
"blank spaces, 11-09-40sUser3?  ",ynQuestion
ouch..10-19-40sUser20,Other
gonna fly here . hugss all ,Other
Describe a way you have improved the organization of a system or task at your present job.,whQuestion
well I told you phone boning me once wouldn't do it!,Other
.ACTION takes a bow.,Other
11-08-adultsUser1,Other
JOIN,Other
10-24-40sUser34...how is 10-24-40sUser37?,whQuestion
.ACTION winks at 10-24-40sUser13.,Other
any girl wanna chat?,ynQuestion
nooooo they are all mixed together,Other
neysa left bruises on me,Statement
11-08-teensUser154 had some crack,Statement
boing,Statement
damn even,Other
hi 10-19-40sUser43,Other
lol @ someone actually taking a hint,Statement
:10-26-teensUser15!10-26-teensUser15@10-26-teensUser15 MODE #14-19teens +o 10-26-teensUser15,Other
il get u a cheap flight to hell:),Statement
rainbow,Statement
JOIN,Other
it seems the msn assholes are here i see,Statement
i know,Statement
JOIN,Other
hi 10-24-40sUser35,Other
11-09-teensUser33 has a huge ass,Statement
What is it like to work with you?,whQuestion
what stuff 10-19-30sUser11? ,whQuestion
oh,Statement
"lol, god so confused",Other
any pa females in here,ynQuestion
my family says it made me skin and bones,Statement
MODE #talkcity_adults -o 11-08-adultsUser132,Other
later maybe...,Statement
hey,Other
JOIN,Other
PART,Other
PART,Other
so what are we talkin' about tonight?,whQuestion
he'll be here soon,Statement
"omg, did I say that?",ynQuestion
pm my brass knuckles...,Statement
hi 11-06-adultsUser69,Other
.wz 28147,Other
lol,Other
yo 10-19-30sUser31 whats up ,Other
hey ,Other
=(,Other
10-24-40sUser13 try ebay,Statement
great to hear 10-19-adultsUser16 ,Other
PART,Other
"who, me?",ynQuestion
"10-24-40sUser19 , will be there next weekend",Statement
JOIN,Other
hey,Other
wb 10-24-40sUser37 :-),Other
same baby three monthes later,Statement
hb!,Other
Hiya everyone ,Other
PART,Other
JOIN,Other
obviously i didn't get it,Statement
beanbag ,Statement
oooooooooooooonnnnnnnnnnnneeeeeeeeeeeeeeesssssssss ,Other
11-09-40sUser18 were you into surf music?',ynQuestion
Hi  10-19-40sUser31  n  10-19-40sUser32   welcome to room,Other
.ACTION is listening to .White Lion - When The Children Cry. ...,Other
<---- 11-06-adultsUser105,Statement
 How are is everything,whQuestion
",l",Other
oh well I must be blind cause I didn't see you ,Statement
hey any guys with cams wanna play?,ynQuestion
"what do you like, 10-26-teensUser86?",whQuestion
no more pms?,ynQuestion
 .Temp. 68%    ,Other
dang,Other
26/f/ny/arizona/single/white/non-smoker/38 B chest,Statement
LOL 11-08-20sUser91.. ;),Other
10-19-40sUser11..heal me girl!!,Other
Ohio,Statement
JOIN,Other
JOIN,Other
how's you 11-06-adultsUser58,whQuestion
yeah...,Other
only wants to imagine that 11-09-40sUser52.. oh n/,Statement
caiuse I could work for 10 yrs and you spend it in a week ... see what I mean?,Statement
hi 11-08-40sUser35,Other
JOIN,Other
ok lol,Other
JOIN,Other
lol,Other
.ACTION laughs.,Other
chattingsmoking,Statement
hey everyone :),Other
is 10-19-20sUser68 back yet,ynQuestion
no we dont want to sit on your face thats what we got eachother for,Other
hello,Other
!scramble,Other
PART,Other
JOIN,Other
PART,Other
hi 10-19-20sUser128,Other
no,Other
PART,Other
"11-08-adultsUser101, I have e-herpes",Statement
ohh 10-24-40sUser24 is romantic today,Statement
tc 10-24-40sUser9,Other
mary? ,whQuestion
How do you determine which activities have top priorities on your time?,whQuestion
fuckin bot,Statement
busy busy busy ... out in the woods today,Statement
JOIN,Other
make me run to you,Other
heck yes,Other
office chatting...yes tend to get lost 10-24-40sUser19...or a lil lost...or something,Statement
11-06-adultsUser37,Statement
.ACTION never judges a book by it's cover....likes to read and see whats on the inside.... same with people too.,Other
didn't they have a good bouncer???,ynQuestion
mmmmmmmmmmmmm,Other
bed,Other
.ACTION 10-19-20sUser1370 watches ur nad with a stick.,Other
hi,Other
JOIN,Other
.ACTION hands 11-09-40sUser30 some hot chocolate.,Other
anybody from wisconsin?,ynQuestion
Was he reading his lessons?,ynQuestion
11-06-adultsUser115 omg,Other
JOIN,Other
hi 11-08-40sUser44,Other
JOIN,Other
LOL,Other
who the hell shot kennedy??,whQuestion
JOIN,Other
hi 10-19-40sUser49,Other
did you attend that Kansas TC get together?,ynQuestion
didnt expect that,Statement
corn,Statement
ty 11-06-adultsUser25,Statement
child development,Statement
hiya.. 10-19-40sUser13,Other
PART,Other
what u up to,whQuestion
talk about an eye sore,Statement
Finally someone figured out women...thanks 10-19-30sUser19,Statement
hi 10-19-40sUser8,Other
10-19-30sUser11 sup girl?,ynQuestion
PART,Other
on yer knees!,Other
yep@religion,Other
PART,Other
yw's,Statement
lol,Other
PART,Other
Ok i have someone in my whisper who is repeating themselvs... i think  his name is Raymond.....ya definately Raymond,Statement
"Welcome to #talkcity_adults, To get your own game/control bot for your chat room please contact Dawnstar Visit http://www.shadowbots.com",Other
Hi 10-19-20sUser115,Other
PART,Other
hey 10-19-40sUser18,Other
".411-08-20sUser121:. TRUTH!  if you had to kill one person, who would it be?",Other
wb,Other
PART,Other
 .Current. 57?F/14?C .Wind. 55%,Other
corny jokes dude shut up,Other
JOIN,Other
10-19-20sUser20 is very polite!,Other
PART,Other
hi,Other
and  is nd..lol,Statement
yes 10-19-20sUser92???,whQuestion
anybody wanna chat with the sexiest girl in south carolina,ynQuestion
nite mike,Other
Describe a situation in which you were under particularly great pressure.,whQuestion
have you ever made it homeade?,ynQuestion
((((((((( 10-19-adultsUser32 ))))))))))),Other
alreadyhave 10-24-40sUser13...lol,Statement
Who do you love the most in your family?,whQuestion
JOIN,Other
JOIN,Other
hiya 10-19-40sUser49,Other
JOIN,Other
whjat nationality are you 10-19-30sUser35?,whQuestion
that was you 10-26-teensUser66,Statement
0,Other
JOIN,Other
k 11-08-40sUser24,Other
PART,Other
.ACTION pouts.,Other
PART,Other
ah well,Statement
you sure bout that,ynQuestion
!scramble,Other
11-09-40sUser7.. it adds wax to ur clothes.. u think cottons breathe?.. not with wax in them.. also they collect dirt then,Statement
hi 11-09-40sUser43,Other
what'd I miss?,whQuestion
back,Statement
this song has gotta go,Statement
make it go away?,ynQuestion
Who’s this?,whQuestion
hi 10-24-40sUser48,Other
:11-06-adultsUser25!Sissy_76@Sissy_76 MODE #talkcity_adults +o 11-06-adultsUser25,Other
i'm okay just movin files around and shit boring and time consuming :) ,Statement
hey 10-19-30sUser30... welcome to the crazy room... lol,Other
PART,Other
 ;-) ,Other
thank you once more 10-26-teensUser85,Statement
PART,Other
PART,Other
hello ,Other
damn,Other
wb 11-08-adultsUser28,Other
dunno whats up with you 11-09-adultsUser54,whQuestion
PART,Other
people will start calling your names,Statement
im rich biatch,Statement
PART,Other
Was it raining?,ynQuestion
double header 11-09-adultsUser29? hahahaha,ynQuestion
lol,Other
lol 10-19-40sUser9,Other
have to work in the mornign 12 hr day ,Statement
.ACTION kicks the hell outs the comp.,Other
PART,Other
.wz 73042,Other
lol i couldnt find you in the P's,Statement
bbl...,Other
geesh there is enough lovin for us all,Statement
lmao,Other
JOIN,Other
lol,Other
.wz 99701,Other
PART,Other
girl,Statement
hey 11-09-adultsUser24,Other
haha,Other
the world may never know...,Statement
thanks!!!,Statement
What kind of reception did they receive?,whQuestion
??,whQuestion
yeah .... I like more peace-and-quiet than excitement ..... so sex is out ;),Statement
JOIN,Other
"yow 11-09-adultsUser22, sit on my face puhleaze ...",Statement
MODE #40sPlus -o 10-19-40sUser16,Statement
so how are the girls in here tonight?,whQuestion
I doupt it,Other
fenks 11-08-20sUser69!!,Other
PART,Other
PART,Other
10-19-30sUser9...where'd you go?,whQuestion
where the girls at,whQuestion
oh 10-19-40sUser26 left lol,Statement
What kind of consultant are you....I'm a financial consultant,whQuestion
 :-o ,Other
hi 10-24-40sUser44,Other
JOIN,Other
yes I know,Other
"10-19-adultsUser520, 10-19-adultsUser32. .LoL",Other
:-@,Other
ok back,Statement
ah ha,Other
alohaaa,Other
Whom would you like to interview?,whQuestion
PART,Other
wb 11-09-40sUser47,Other
sucks for you im a good 98.6,Statement
lol 11-08-40sUser7,Other
"Females, 11-09-adultsUser81? None of those in here. Male only room, and just your luck... it's Fetish night....",Statement
Watching = An hour and a half or two of pure bliss.,Statement
PART,Other
tick tock,Statement
wb 10-19-30sUser18,Other
Can I go with you?,ynQuestion
*eats 11-08-teensUser154*,Other
10-19-adultsUser28 !!!!,Other
PART,Other
lol,Other
11-06-adultsUser69,Statement
hello everyone,Other
cya all,Other
hi 10-19-30sUser12,Other
hi 10-24-40sUser14,Other
JOIN,Other
PART,Other
"11-08-adultsUser13 , welcome to #talkcity_adults ! .4Please ask in the main room before Private Messaging others!. You can find our rules at httpThanks for joining us!",Other
10-19-20sUser92.,Statement
eeekk..frozen screen!,Other
PART,Other
wow mercy mercy me....things aint what they used to be....hmm hmm hmm,Statement
JOIN,Other
coffee addict,Statement
 maybe b/c I am zzzzzzzz,Statement
.ACTION watches 11-09-20sUser89 kiss 11-09-20sUser168's big toe..,Other
HI ROOM,Other
PART,Other
.ACTION re-thinks liking 10-19-20sUser121.,Other
the teacher would probably be 80 wouldn't she?,ynQuestion
"I can type ""cat is on my keyboard"" too!",Other
<<<<redneck country hick,Statement
ne one wanna chat pm me,Statement
 .Record High. 12?F/-11?C (1930),Other
"Hey, 11-08-teensUser114",Other
ummm...yeah (sheepishly),Other
lol thanks i think,Statement
o.o,Other
What do you consider the best idea you ever failed to sell?,whQuestion
lol,Other
ty,Statement
mango martinis and teens,Statement
hahaha,Other
im still dressed,Statement
haha 11-09-40sUser31 ,Other
sowwy,Statement
What impact do you think it will have?,whQuestion
LOL,Other
adopted,Other
who wants to talk to a hot girl,whQuestion
OMG I am not sure how to react its so pathetic,Statement
what is ur job,whQuestion
"lol, 10-24-40sUser33",Other
and now you hear voices,Statement
Hi 11-06-adultsUser57 - where you from?,whQuestion
lol 11-08-40sUser7,Other
PART,Other
hiya 10-19-40sUser35,Other
oh?,ynQuestion
PART,Other
" .Punta Gorda, Florida. -- 10.  10:49 PM EST",Other
I hope you all are riding the short bus cuz we sure the hell aint,Statement
JOIN,Other
!hug 10-19-20sUser20,Other
Tell me what you have devised.,whQuestion
some guys prono=pming the ladies,Statement
aw yum,Other
i'll thunder clap your ass.,Statement
Werd,Statement
JOIN,Other
JOIN,Other
;-),Other
PART,Other
How do you keep up with the changing technologies in the library field?,whQuestion
PART,Other
u know the u of I right fighting illin,Statement
lmaoo 10-19-20sUser7,Other
no,Other
hey 11-09-adultsUser76,Other
brb..popcorn is ready,Other
i dunno.. my lingo is like 5 yrs behind,Statement
PART,Other
hey 11-09-40sUser34,Other
11-06-adultsUser99 nice bum,Statement
PART,Other
hey 10-19-30sUser23 hun,Other
sure 10-24-40sUser21.........aint no such a thang as a good lookin man lol,Statement
hes cool too,Other
lol 11-09-20sUser41 then shut yr mouth ..smell go away,Statement
i  dont feel so bad now,Statement
:P,Other
 im bored,Statement
It's like watching a movie for me,Statement
cause,Statement
PART,Other
haaa.,Other
ewwww,Other
hoi there,Other
PART,Other
howz every1 today?,whQuestion
hih 11-08-40sUser24 too ,Other
lmaooo 10-19-20sUser92!!!!!!,Other
